,ConPo,0
Mayotte,1.5742911395060435,0.14530865140569463
Barbados,1.4298860603496166,0.05700359857653165
British West Indies,1.2430476188665813,0.5505396161199404
USA-Pacific,1.1857714431563195,0.21483576722362463
Madagascar,1.13764723141915,0.16130301050274132
Vanuatu,1.105484011620895,0.0464531054946427
Fiji,0.9085755330903384,0.038146873479773746
Indonesia,0.8898838757233307,0.22629246418697027
Brazil,0.7621135994047247,0.05310913571307345
American Samoa,0.732822028332317,0.09733964314115305
Japan,0.7310920110645331,0.07482008709809645
Cuba,0.7134459912071152,0.06783535664714513
Puerto Rico,0.7132583184345409,0.23294447670636828
Saudi Arabia-Red Sea,0.7037938129886292,0.15030308326184566
Belize,0.6586777667404147,0.7437925885598949
Samoa,0.6497654831812887,0.042578079654703734
Mozambique,0.6062956035922533,0.46792019896640535
Malaysia,0.5733265212483576,0.2594083920105858
Jamaica PB,0.3407281136076983,0.8836838856658507
Tanzania,0.30024601582350785,0.0064697467357957925
Cook Islands,0.27759067441530483,0.6983265399060812
Taiwan,0.2727282896570574,0.10796330117856069
Kiribati,0.24303177539441656,0.7389445876012091
Dutch Antilles Leeward,0.19439100594714326,0.0021476909701251697
Tonga,0.19217710621546558,0.8065039223381609
Bermuda,0.18769275279000183,0.010119388206915665
Philippines,0.18142433547749823,0.006995917698278269
USA-Western Atlantic,0.15320737761076186,0.9475863808702149
Palau,0.15309466056147958,0.8390207377146269
Papua New Guinea,0.10569589602754237,0.7882062669444181
Turks and Caicos,0.10555764962176661,0.9617141543664921
Antigua and Barbuda,0.0903672911146075,0.9673498629602387
Maldives,0.05903423600643942,0.9388992844275647
Seychelles,0.05585186869095837,0.9637271872013324
Niue,0.046996154012535984,0.9528720205584279
Colombia,0.03666938757035458,0.0002491126872986045
Sri Lanka,0.02535769595462801,9.82856432349923e-05
Trinidad and Tobago,0.02472564219882628,0.48019542665586173
South Africa,0.019046496622507014,0.450828502280019
New Zealand,0.016746024001072723,0.982966614797291
French Polynesia,0.01609978591680883,0.9918868106138348
India,0.009578199464573561,0.0013154362601689317
Federated States of Micronesia,0.008799689563684376,0.9910150388737965
Australia-Pacific,0.007849793747131573,0.995623840042251
Australia IOT,0.0059578295776751,0.7800445159559889
Solomon Islands,0.00589799951332437,0.9960121720509642
Jamaica,0.005719847602111056,0.0008046391775691188
French West Indies,0.0048528533661505915,0.0008812985172406185
Vietnam,0.0047498962980371,0.0011073388695553904
Qatar,0.004270696724743553,0.0007025711279554644
Kenya,0.0036539662632244095,0.0009255050330250723
Dominican Republic,0.0030827411703839495,0.0007110216486483124
New Caledonia,0.001291302333071398,0.9217131581700998
Bahamas,0.0007999182882333367,0.9990979420034333
Columbia SF,0.0007995517015226827,0.9990398510528331
Dutch Antilles Windward,0.0006655275031958554,0.0002095277970983344
Australia-Indian Ocean,0.0004995859827849891,0.9988722139805752
Guam,0.00019997415939378407,0.0
